titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
Opérateur de production à,Action Tanger,Industrie / Ingénierie / Energie,Tanger,"experience en milieu industriel souhaitee (menuiserie, usine, cnc... selon ton cas) * bonne condition physique et capacite a travailler en equipe * sens de lorganisation et attention aux details * ponctualite et serieux","en milieu industriel souhaitee (menuiserie, usine, cnc... selon ton cas) * bonne condition physique et capacite a travailler en equipe * sens de lorganisation et attention aux details * ponctualite et serieux",CDD,8
Directeur technique hôtel de luxe,Hôtel 5 étoiles,Maintenance / Entretien,Tanger,maitrise approfondie des outils de gmao et des systemes de gtb (gestion technique du batiment).,"minimum 5 a 8 ans sur un poste similaire, imperativement dans l'hotellerie de luxe (5*) ou au sein de complexes immobiliers de haut standing.",CDI,4
Comptable opérationnel h/f,Omniserv Solutions sarl,Comptabilité / Gestion / Audit,Marrakech,"essentielles : maitrise complete de la saisie comptable (achats, ventes, banques, operations diverses). rapprochements bancaires maitrises. *gestion rigoureuse des comptes clients et fournisseurs. tres bonne comprehension du cycle comptable et des pieces justificatives. atouts supplementaires : experience en comptabilite europeenne (francaise, belge ou luxembourgeoise). experience en rappels clients / relances de paiements, utile pour le suivi des comptes clients.",2 a 3 ans minimum en comptabilite ; une experience en fiduciaire ou cabinet constitue un reel atout.,CDI,2
Offre emploi une comptable (f) a,CASA FIDUCIAIRE,Comptabilité / Gestion / Audit,Casablanca,,dans fiduciaires maitrisant la comptabilite jusquau bilan et les logiciels de comptabilite et connaissance dans le juridique et la fiscalite.,CDI,2
Offre hôtesses d'accueil & conseillères,viva academy,Accueil / Secrétariat / Administration,Casablanca,"excellente presentation et sens du relationnel bonne communication en francais (larabe est un plus) motivation, serieux et esprit dequipe debutantes acceptees (",,CDI,4
Commercial immobilier,Ayad Developpement,Immobilier,Casablanca,"experience en centre d'appel obligatoire excellent sens de la communication et de la negociation oriente(e) resultats, organise(e) et autonome ce que nous offrons",en centre d'appel ? rejoignez notre equipe specialisee dans l'immobilier haut de gamme ! vos,CDI,1
Community manager,LE 25 IMMOBILIER,Informatique / Multimédia / Internet,Marrakech,"en photo, video et montage (canva, capcut, adobe, etc.) * creatif(ve), dynamique et force de proposition * sens esthetique developpe et interet pour limmobilier * bonne communication en francais (langlais est un plus) ce que nous offrons * un environnement de travail jeune, dynamique et entrepreneurial * lopportunite de participer au developpement digital dune agence en pleine croissance * un cadre de travail stimulant au cur de marrakech * des projets creatifs et des possibilites devolution",en community management ou creation de contenu appreciee * bonne maitrise des reseaux sociaux et des tendances digitales,Anapec,4
Directeur technique ingénieur en électricité,Smart Electro Rafik,Industrie / Ingénierie / Energie,Casablanca,"pour le poste : directeur technique - ingenieur d'etat en electricite, laureat d'une grande ecole d'ingenieur en genie electrique, vous justifiez d'une experience significative au moins 10 ans dans la gestion des grandes projets en ingenierie electrique (bt/mt/hta), homme de terrain, votre rigueur, votre sens de l'organisation et votre esprit d'equipe sont des qualites qui vous permettront de reussir a ce poste. - rejoignez notre equipe en tant que directeur technique et vivez une experience enrichissante, postulez a cette offre et envoyez votre cv + photo par ce site marocannonces.","significative au moins 10 ans dans la gestion des grandes projets en ingenierie electrique (bt/mt/hta), homme de terrain, votre rigueur, votre sens de l'organisation et votre esprit d'equipe sont des qualites qui vous permettront de reussir a ce poste. - rejoignez notre equipe en tant que directeur technique et vivez une experience enrichissante, postulez a cette offre et envoyez votre cv + photo par ce site marocannonces.",A discuter,8
Un(e) responsable des appels d'offres,Smart Electro Service,Accueil / Secrétariat / Administration,Casablanca,,"justifiee plus de 10 ans dans le meme poste propose, qui seras responsable des appels d'offres concernant les marches publics et prives pour le pilotage et le suivi des appels d'offres des projets electriques, ayant un esprit organisationnel, qui maitrise parfaitement la gestion des appels d'offres (les dossiers administratifs, techniques et financiers). - vous aurez comme principale",A discuter,4
Agence d'assurance cherche aide comptable,ASSURANCES NESMAOUI,Banque / Finance / Assurance,Casablanca,,,A discuter,0
Ecole recrute plusieurs profils pour 2026 2027,ECOLE PRIVEE,Education / Social / Petite Enfance,Casablanca,,,A discuter,4
Agence d'assurance cherche des apporteurs d'affair,ASSURANCES NESMAOUI,Banque / Finance / Assurance,Casablanca,,,A discuter,0
Responsable commercial gms/moderne,,Commercial / Vente,Casablanca,"bac+3/5, avec une experience minumum de 5 ans en tant que responsable commercial.","dans les produits emballages/sacs. profil: bac+3/5, avec une experience minumum de 5 ans en tant que responsable commercial.",CDI,1
Operateur anassi,.,Autre,Casablanca,"requis : - bac+2 en electricite, maintenance industrielle, fabrication mecanique, plasturgie ou equivalent - une premiere experience dans un environnement de production serait un atout.",dans un environnement de production serait un atout.,Interim,4
Chargée logistique (f) sidi maarouf,DAMA,Banque / Finance / Assurance,Casablanca,"bac+3 a bac+5 en logistique ou equivalent minimum 2 ans dexperience dans un poste similaire maitrise des outils informatiques (erp type sage, excel...) rigueur, sens de lorganisation et reactivite","dans un poste similaire maitrise des outils informatiques (erp type sage, excel...) rigueur, sens de lorganisation et reactivite",Interim,4
Chargée rh (cfc),Dama,Autre,Casablanca,s - prise de contact avec les candidats et organisation des entretiens - participation aux entretiens avec les managers ou rh - suivi de lintegration des nouveaux collaborateurs (onboarding) 3.,de 2ans a 3 ans reussie autant que assistante rh ou dans un poste similaire. - excellente communication ecrite et orale en francais,Interim,3
Technicien laboratoire (bouskoura),VARUN BEVERAGES MOROCCO,Biologie / Chimie / Pharmaceutique,Casablanca,"bac+3 en chimie industrielle, biologie ou equivalent avec une experience dans l'agroalimentaire. nb : transport est assure",dans l'agroalimentaire. nb : transport est assure,A discuter,3
Agence d'assurance cherche gestionnaire production,AGENCE WAFA ASSURANCE BOUSKOURA,Banque / Finance / Assurance,Casablanca,,dans le,A discuter,0
Chargée de la relation client whatsapp maroc/dubai,LA FONDA,Commercial / Vente,Tout le Maroc,"reactivite, rigueur, elegance, empathie exigence la fonda : savoir valoriser un produit premium adapter son discours a une clientele exigeante (maroc & international) creer une experience client fluide et qualitative positionnement : ce nest pas un agent call center cest un profil commercial premium, capable de vendre avec intelligence et elegance. merci denvoyer votre candidature a : recrutement@lafonda.ma avec la reference : maducrc-01",premium et en transformant chaque echange en vente. role relation client haut de gamme vente digitale representation de la marque objectif : convertir une conversation en commande,CDI,1
Superviseur / chef d'équipe / agent de néttoyage,ARTIS ENVIRONNEMENT,Sécurité / Surveillance / Gardiennage,Marrakech,s suivants : 1.superviseur nettoyage : encadrer et organiser les equipes assurer la qualite des prestations gerer les plannings et les besoins en personnel etre linterlocuteur du client 2.chef dequipe nettoyage : superviser une equipe dagents sur site repartir les taches et controler leur execution veiller au respect des consignes et des normes dhygiene 3.agent de nettoyage : assurer le nettoyage et lentretien des locaux respecter les protocoles dhygiene et de securite utiliser correctement les produits et equipements,souhaitee dans le nettoyage ou un poste similaire,CDD,3
Commerciale / vendeuse magasin,Librairie à Marrakech,Commercial / Vente,Marrakech,s souhaites: bonne maitrise du francais (obligatoire) une premiere experience en vente maitrise des outils informatique sage et caisse (souhaitee) presentation soignee personne interessee veuillez envoyer votre cv avec photo,en vente maitrise des outils informatique sage et caisse (souhaitee) presentation soignee personne interessee veuillez envoyer votre cv avec photo,CDI,1
Vendeuse/ assistante manager,,Commercial / Vente,Casablanca,- bonne presentation - sens de laccueil et du service client - experience en vente - capacite a travailler en equipe - ponctualite et sens des responsabilites,en vente - capacite a travailler en equipe - ponctualite et sens des responsabilites,A discuter,1
Gestionnaire point de vente,LA FONDA,Commercial / Vente,Tout le Maroc,"experience confirmee en gestion de point de vente (idealement alimentaire / retail) forte capacite manageriale et sens du leadership maitrise des operations (stock, caisse, hygiene, organisation) sens du commerce et orientation resultats rigueur, autonomie et sens des responsabilites capacite a travailler sous pression et a gerer des equipes terrain poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer votre candidature par emailavec la reference : gestpv-01","confirmee en gestion de point de vente (idealement alimentaire / retail) forte capacite manageriale et sens du leadership maitrise des operations (stock, caisse, hygiene, organisation) sens du commerce et orientation resultats rigueur, autonomie et sens des responsabilites capacite a travailler sous pression et a gerer des equipes terrain poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer votre candidature par emailavec la reference : gestpv-01",CDI,4
Boucher(e),LA FONDA,Autre,Tout le Maroc,"experience en boucherie souhaitee maitrise des techniques de base de decoupe rigueur, discipline et sens du detail capacite a travailler en equipe sens des responsabilites et respect des normes horaires de travail de 08h a 21h00 ( 8h par jour ) poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer par emailavec la reference : bouch-01","en boucherie souhaitee maitrise des techniques de base de decoupe rigueur, discipline et sens du detail capacite a travailler en equipe sens des responsabilites et respect des normes horaires de travail de 08h a 21h00 ( 8h par jour ) poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer par emailavec la reference : bouch-01",Interim,4
