Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Gestionnaire administrative et financière,SOBOMO,Comptabilité / Gestion / Audit,Agadir,"rigueur, sens de lorganisation et fiabilite bonne maitrise des outils informatiques (notamment excel) connaissances de base en comptabilite esprit danalyse et sens des responsabilites",,CDI,29 Apr-14:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370154/Gestionnaire-Administrative-et-Financière.html
Agent polyvalent livraison & merchandising,Confdentielle,Autre,Casablanca,,"obligatoire de 2 ans minimum dans un poste similaire - bonne connaissance du circuit grandes surfaces (type marjane, carrefour...) - serieux, ponctualite et sens des responsabilites indispensables conditions : - poste base a casablanca - disponibilite immediate obligatoire merci denvoyer votre cv avec photo via marocannonces.les candidatures ne repondant pas aux criteres ne seront pas traitees",CDI,29 Apr-14:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363087/Agent-Polyvalent-Livraison-et-Merchandising.html
Full stack .net developer,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,,CDI,29 Apr-14:34,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371726/Full-Stack-NET-Developer.html
📢 offre d’emploi contrôleur logistique,confidentiel,Tourisme / Hôtellerie / Restauration,Casablanca,"- experience obligatoire en logistique, idealement dans le secteur de la restauration - bonne organisation et rigueur - maitrise des outils de gestion de stock - capacite a travailler en equipe et sous pression - sens du detail et de lanticipation localisation : casablanca disponibilite : immediate pour postuler : merci denvoyer votre cv via ce site marocannonces","obligatoire en logistique, idealement dans le secteur de la restauration - bonne organisation et rigueur - maitrise des outils de gestion de stock - capacite a travailler en equipe et sous pression - sens du detail et de lanticipation localisation : casablanca disponibilite : immediate pour postuler : merci denvoyer votre cv via ce site marocannonces",A discuter,29 Apr-14:34,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371721/📢-Offre-d’emploi-Contrôleur-Logistique.html
Ouverture coffee shop ville verte,sarl,Tourisme / Hôtellerie / Restauration,Bouskoura,,", minimum de 2 ans est obligatoire. nous recrutons pour tous les postes: manager, baristas... . nous recrutons des personnes serieuses et dynamiques. personne interessee, veuillez, envoyer votre cv avec photo",A discuter,29 Apr-14:34,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371718/Ouverture-coffee-Shop-ville-verte-Bouskoura.html
Responsable sav & atelier,anonyme,Industrie / Ingénierie / Energie,Mohammedia,tres organise - rigoureux - particulierement methodique - maitriser les aspects techniques des produits vendus - polyvalence technique - bonne connaissance en re,,CDI,29 Apr-14:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363060/RESPONSABLE-SAV-et-ATELIER-MOHAMMEDIA.html
Responsable logistique,,Entreprise / Import / Export,Tanger,,de 10 ans minimum en gestion logistique bonne maitrise des incoterms et procedures douanieres maitrise dexcel et des erp bon niveau en francais (anglais souhaitable),CDI,29 Apr-14:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368479/Responsable-Logistique.html
𝗦𝘂𝗽𝗲𝗿𝘃𝗶𝘀𝗲𝘂𝗿 𝗥𝗛 𝗣𝗿𝗼𝗳𝗶𝗹 𝗜%f,BEST PROFIL,Ressources Humaines / Recrutement / Intérim,Casablanca,"experience terrain (btp, industrie, commercial terrain...) habitude des environnements a forte pression excellente mobilite et sens du contact capacite a atteindre des objectifs hebdomadaires permis de conduire obligatoire (vehicule de service)","terrain (btp, industrie, commercial terrain...) habitude des environnements a forte pression excellente mobilite et sens du contact capacite a atteindre des objectifs hebdomadaires permis de conduire obligatoire (vehicule de service)",Interim,29 Apr-14:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371709/𝗦𝘂𝗽𝗲𝗿𝘃𝗶𝘀𝗲𝘂𝗿-𝗥𝗛-–-𝗣𝗿𝗼𝗳𝗶𝗹-𝗜F.html
Dispatch agent anglais courant service limousine,Bee Creative Sarl,International / Télécommunication,Agadir,"- excellent anglais obligatoire (niveau conversationnel americain) - tres a laise au telephone avec clients internationaux - experience min. 1 an en dispatch, transport, reservation, service client ou vente - sens commercial apprecie (possibilite de bonus performance) - organisation, reactivite, multitache - connexion internet stable + environnement calme atout - experience transport, chauffeur service ou limo anywhere candidature : envoyer cv + court enregistrement vocal en anglais","min. 1 an en dispatch, transport, reservation, service client ou vente - sens commercial apprecie (possibilite de bonus performance) - organisation, reactivite, multitache - connexion internet stable + environnement calme atout - experience transport, chauffeur service ou limo anywhere candidature : envoyer cv + court enregistrement vocal en anglais",A discuter,29 Apr-14:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363068/Dispatch-Agent-Anglais-Courant-–-Service-Limousine.html
Pré vendeur détail à,Confidentiel,Grande Distribution,Rabat,- niveau bac+2 ou equivalent. - experience minimale de 2 ans dans le,minimale de 2 ans dans le,CDI,29 Apr-14:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371698/Pré-vendeur-détail-à-Rabat.html
Agent de livraison et recuperation a,Marrakech Location Voiture,Automobile,Marrakech,,,A discuter,29 Apr-14:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369051/AGENT-DE-LIVRAISON-ET-RECUPERATION-A-MARRAKECH.html
Aides comptables et stagiaires en comptabilité (f),,Comptabilité / Gestion / Audit,Casablanca,"formation bac+2/3 en comptabilite/gestion. maitrise des outils informatiques et des logiciels de comptabilite. rigueur, discretion et sens de l'organisation.",,CDI,29 Apr-14:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370136/Aides-Comptables-et-Stagiaires-en-Comptabilité-(F).html
Infographiste / graphiste (h/f),URBA PERFECT,Marketing / Communication / Publicité / Rp,Casablanca,"formation en infographie ou design graphique experience de 2 a 4 ans souhaitee maitrise de la suite adobe (photoshop, illustrator, indesign) bonne maitrise de powerpoint creativite, rigueur et respect des delais - conditions et avantages environnement structure projets varies possibilites devolution remuneration competitive - candidature envoyer votre cv + portfolio + photo via ce site","de 2 a 4 ans souhaitee maitrise de la suite adobe (photoshop, illustrator, indesign) bonne maitrise de powerpoint creativite, rigueur et respect des delais - conditions et avantages environnement structure projets varies possibilites devolution remuneration competitive - candidature envoyer votre cv + portfolio + photo via ce site",A discuter,29 Apr-14:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362154/Infographiste-Graphiste-(HF).html
Assistante,MPI,Comptabilité / Gestion / Audit,Casablanca,,vente exigee profil oriente resultats (remuneration et moyens evolutifs selon performance). pourquoi nous rejoindre ?,A discuter,29 Apr-13:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363788/Assistante.html
Kinésithérapeutes aéroport casablanca &,Centre de bien être,Santé / Médical,Marrakech,"diplome en kinesitherapie * bon niveau en francais et en anglais * sens du service, serieux et presentation soignee conditions :",,Anapec,29 Apr-13:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362145/Kinésithérapeutes-Aéroport-Casablanca-et-Marrakech.html
Assistante de direction,URBA PERFECT,Accueil / Secrétariat / Administration,Casablanca,formation bac+3 a bac+5 en gestion ou equivalent experience minimum 3 ans dans un poste similaire excellente maitrise du francais bonne maitrise de larabe anglais souhaite tres bonne maitrise des outils bureautiques presentation irreprochable et sens de la confidentialite conditions et avantages environnement structure proximite avec la direction generale possibilites devolution,minimum 3 ans dans un poste similaire excellente maitrise du francais bonne maitrise de larabe anglais souhaite tres bonne maitrise des outils bureautiques presentation irreprochable et sens de la confidentialite conditions et avantages environnement structure proximite avec la direction generale possibilites devolution,A discuter,29 Apr-13:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362142/Assistante-de-Direction.html
Responsable de pâtisserie adjoint,La Terrasse des épices,Tourisme / Hôtellerie / Restauration,Marrakech,experience probante dans la meme,probante dans la meme,A discuter,29 Apr-13:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365374/Responsable-de-pâtisserie-adjoint.html
Chargé clientèle et traitement de conformité,Olfcenter,Autre,Casablanca,"- excellente maitrise du francais a loral (critere obligatoire et eliminatoire) - tres bonne elocution et capacite a tenir une conversation professionnelle fluide - aisance telephonique et sens de lecoute - rigueur et sens du detail - maitrise des outils informatiques de base - serieux(se), ponctuel(le) et professionnel(le) nous offrons : - un environnement de travail structure et professionnel - une",,CDI,29 Apr-13:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365356/Chargé-clientèle-et-traitement-de-conformité.html
Comptable confirmé(e),URBA PERFECT,Comptabilité / Gestion / Audit,Casablanca,"bac+3 a bac+5 en comptabilite ou finance 3 a 5 ans dexperience minimum maitrise des normes comptables marocaines bonne maitrise des outils comptables et excel rigueur, organisation et esprit danalyse conditions et avantages environnement structure possibilite devolution","minimum maitrise des normes comptables marocaines bonne maitrise des outils comptables et excel rigueur, organisation et esprit danalyse conditions et avantages environnement structure possibilite devolution",A discuter,29 Apr-13:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362136/Comptable-Confirmé(e).html
Commerciaux en immobilier (h/f),URBA PERFECT,Commercial / Vente,Casablanca,maitrise des techniques de vente et de negociation bonne comprehension du processus de vente immobiliere (vefa est un plus) connaissance du marche immobilier marocain appreciee maitrise des outils bureautiques et crm exigences mobilite terrain vehicule personnel souhaite objectifs & kpis nombre de prospects generes mensuellement taux de trans,experience en immobilier fortement souhaitee experience commerciale exigee (b2c ou b2b) debutants a fort potentiels acceptes avec,A discuter,29 Apr-13:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362133/Commerciaux-en-Immobilier-(HF).html
Magasinier tétouan,DAMA,Industrie / Ingénierie / Energie,Tanger,"requises : -bonne connaissance des regles de stockage et de securite. -utilisation dengins de manutention (transpalette, chariot elevateur...). -capacite a lire et interpreter des documents (bons de livraison, bordereaux...). -connaissance de base en informatique (gestion de stock sur logiciel). -organisation et rigueur.","-bac + 2 logistique, magasinage, manutention ou equivalent. -experience 3 ans et plus autant que magasinier",Interim,29 Apr-13:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361868/Magasinier-Tanger-Tétouan.html
Chef de projet en menuiserie aluminium,--,Autre,Casablanca,"requises - bonne connaissance menuiserie aluminium et facades. - lecture de plans techniques. - connaissance gammes, profils, accessoires. - methodes de pose. - notions calculs, metres et resistance des materiaux. - normes qualite et securite. - management d'equipes, organisation, priorisation. - communication, negociation, gestion du stress. logiciels - autocad - excel - ms project / planning - logiciels metier : logikal, orgadata, erp.",,CDI,29 Apr-13:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366839/Chef-de-Projet-en-Menuiserie-Aluminium.html
Technicien de maintenance,Varun Beverages-Pepsi,Maintenance / Entretien,Bouskoura,bac+2 en maintenance mecanique ou automatisation et instrumentation industrielle avec une experience dans un milieu industriel en tant que technicien de maintenance. nb : transport est assure,dans un milieu industriel en tant que technicien de maintenance. nb : transport est assure,A discuter,29 Apr-13:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362351/TECHNICIEN-DE-MAINTENANCE.html
Magasinière,x,Entreprise / Import / Export,Casablanca,"rigueur, sens de l'organisation et esprit d'equipe",,A discuter,29 Apr-13:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371675/Magasinière.html
